Date,Open,High,Low,Close,Volume,Adj Close
2013-06-17,34.860001,35.060001,32.98,33.23,5974000,33.23
2013-06-10,33.91,34.84,33.50,34.740002,4263100,34.740002
2013-06-03,32.93,34.240002,32.790001,34.16,5136600,34.16
2013-05-28,34.009998,34.040001,32.529999,32.610001,7097800,32.610001
2013-05-20,34.080002,34.59,32.759998,33.369999,6400000,33.369999
2013-05-13,33.91,34.290001,32.84,34.209999,5894000,34.209999
2013-05-06,33.959999,34.470001,33.279999,34.139999,5236000,34.139999
2013-04-29,33.330002,34.220001,32.119999,34.009998,7471700,34.009998
2013-04-22,31.620001,33.450001,31.26,33.119999,6269900,33.119999
2013-04-15,31.940001,32.02,30.790001,31.389999,8094900,31.389999
2013-04-08,33.310001,33.919998,32.310001,32.529999,4990200,32.529999
2013-04-01,34.43,34.860001,32.919998,33.279999,6267900,33.279999
2013-03-25,33.889999,34.84,33.650002,34.75,5319600,34.75
2013-03-18,33.040001,33.75,32.869999,33.610001,4390000,33.610001
2013-03-11,32.860001,33.650002,32.700001,33.599998,2672500,33.599998
2013-03-04,32.599998,33.099998,32.16,33.049999,4750100,33.049999
2013-02-25,33.700001,33.75,32.41,32.740002,5247100,32.740002
2013-02-19,34.66,35.040001,33.299999,33.599998,6982900,33.599998
2013-02-11,34.549999,35.490002,34.439999,34.720001,4351000,34.720001
2013-02-04,34.889999,35.150002,34.50,34.700001,3924500,34.700001
2013-01-28,34.959999,35.529999,34.57,35.349998,4961300,35.349998
2013-01-22,34.82,35.09,34.380001,34.779999,4795100,34.779999
2013-01-14,34.119999,34.939999,33.830002,34.77,4203100,34.77
2013-01-07,33.720001,34.32,33.630001,34.060001,3293100,34.060001
2012-12-31,32.900002,34.09,32.889999,33.880001,5037800,33.880001
2012-12-24,32.189999,33.259998,32.110001,33.040001,3770100,33.040001
2012-12-17,31.85,32.950001,31.83,32.360001,4254800,32.360001
2012-12-10,31.65,32.110001,31.219999,31.809999,3869500,31.809999
2012-12-03,33.040001,33.110001,31.41,31.530001,4611000,31.530001
2012-11-26,32.060001,32.619999,31.290001,32.560001,4741200,32.560001
2012-11-19,32.52,32.93,31.59,32.32,9397200,32.32
2012-11-12,31.73,32.049999,31.200001,31.93,9033700,31.93
2012-11-05,31.379999,32.880001,31.00,31.73,9059300,31.73
2012-10-31,31.809999,32.25,31.23,31.35,7052600,31.35
2012-10-22,33.310001,33.419998,31.35,31.790001,12258800,31.790001
2012-10-15,33.619999,34.459999,33.27,33.34,8481700,33.34
2012-10-08,33.110001,34.700001,33.009998,34.00,7602100,34.00
2012-10-01,34.450001,34.599998,32.52,33.349998,9278000,33.349998
2012-09-24,34.009998,34.50,32.98,34.119999,7208700,34.119999
2012-09-17,36.860001,37.02,33.959999,34.490002,14076500,34.490002
2012-09-10,35.639999,37.169998,35.540001,36.84,6574300,36.84
2012-09-04,35.959999,36.360001,35.009998,35.880001,9119800,35.880001
2012-08-27,35.450001,36.080002,34.970001,35.889999,6809100,35.889999
2012-08-20,35.82,36.450001,35.490002,35.68,6691100,35.68
2012-08-13,34.959999,35.950001,34.380001,35.950001,5695500,35.950001
2012-08-06,33.950001,35.369999,33.900002,34.849998,5176400,34.849998
2012-07-30,33.599998,34.259998,32.459999,34.07,8669500,34.07
2012-07-23,33.02,33.790001,32.450001,33.669998,7691900,33.669998
2012-07-16,32.799999,34.84,32.59,34.200001,8669100,34.200001
2012-07-09,31.709999,32.869999,31.40,32.68,7947400,32.68
2012-07-02,31.43,33.080002,30.82,31.59,12749800,31.59
2012-06-25,29.68,32.029999,29.02,31.83,11876400,31.83
2012-06-18,31.02,31.809999,29.309999,30.10,12691000,30.10
2012-06-11,31.90,31.90,30.67,31.629999,6742200,31.629999
2012-06-04,31.34,32.799999,31.129999,31.799999,9369800,31.799999
2012-05-29,34.529999,34.759998,31.030001,31.43,9756100,31.43
2012-05-21,34.68,35.189999,33.66,34.220001,6079600,34.220001
2012-05-14,35.709999,35.98,34.43,34.43,7032800,34.43
2012-05-07,36.860001,37.16,36.029999,36.259998,8426000,36.259998
2012-04-30,39.43,40.290001,36.919998,37.290001,9161600,37.290001
2012-04-23,38.73,39.75,38.549999,39.619999,5490600,39.619999
2012-04-16,39.130001,39.889999,38.669998,39.389999,5436400,39.389999
2012-04-09,38.560001,39.639999,38.310001,39.150002,6084800,39.150002
